Placa,Posición,Espesores[mm],Posición termopares [m],Velocidad de soldeo [m/min],Calor absorbido durante soldeo Q [W],Potencia suministrada por la fuente [W],Eficiencia térmica n [%],Aporte Térmico Líquido [J/m],Velocidad de enfriamiento [°/min]
1,1,3,0.0559016994374947,0.00523560209424084,1250.58,1640,76.2548780487805,398101.3,39.0926204178395
1,2,3,0.0790569415042095,0.00523560209424084,665.48,1640,40.5780487804878,211844.466666667,25.056124072287
2,1,3,0.0559016994374947,0.00505050505050505,1213.41,2106,57.6168091168091,400425.3,40.3533970066045
2,2,3,0.0353553390593274,0.00505050505050505,927.62,2106,44.0465337132004,306114.6,9.36196477256792
3,1,3,0.0559016994374947,0.00578034682080925,1437.05,2472,58.1330906148866,414349.416666666,37.0552244321739
3,2,3,0.0353553390593274,0.00578034682080925,959.480000000001,2472,38.8139158576052,276650.066666667,5.51763756354332
4,1,3,0.0559016994374947,0.0040650406504065,1703.42,2420.5,70.3747159677753,698402.2,75.6368223337277
4,2,3,0.0790569415042095,0.0040650406504065,1671.63,2420.5,69.0613509605454,685368.300000001,70.4392630473545
5,1,5,0.0559016994374947,0.00420168067226891,1842.52,2622,70.2715484363082,730866.266666667,219.42060043627
5,2,3,0.0790569415042095,0.00420168067226891,1748.22899999999,2622,66.6754004576657,693464.169999998,73.2336190949143
6,1,5,0.0559016994374947,0.00469483568075117,1521.23,2964.3,51.3183550922644,540036.649999998,41.2193387189691
6,2,5,0.0790569415042095,0.00469483568075117,1730.8,2964.3,58.3881523462537,614433.999999999,54.7089618421237
7,1,5,0.0559016994374947,0.00292397660818713,1613.8,2460,65.6016260162602,919866.000000001,71.0631396026581
7,2,5,0.0790569415042095,0.00292397660818713,1679.44,2460,68.2699186991869,957280.799999999,60.5757225143007
8,1,5,0.0559016994374947,0.00265957446808511,1793.99,2668,67.2410044977511,1124233.73333333,81.8501417737543
8,2,5,0.0790569415042095,0.00265957446808511,1852.3,2668,69.4265367316342,1160774.66666667,65.2176076296509
9,1,5,0.0559016994374947,0.00267379679144385,1864.02,2921,63.8144471071551,1161905.8,84.9178909873473
9,2,5,0.0790569415042095,0.00267379679144385,1922.7,2921,65.8233481684355,1198483,67.8174735094841
10,1,5,0.0559016994374947,0.00273224043715847,1723.06,3105,55.4930756843801,1051066.6,77.9733807532661
10,2,5,0.0790569415042095,0.00273224043715847,1774.73,3105,57.1571658615137,1082585.3,63.0200564881247
